,projectID,title,category,coordinator_name,coordinator_country,coordinator_activity_type,status,totalCostProj,project_start_year,project_end_year,opportunity_tier_cordis
0,633184,Strengthening Animal Production and Health through the Immune Response,Genomics / Molecular Biology,"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE, L'ALIMENTATION ET L'ENVIRONNEMENT",France,REC,CLOSED,10549121.5,2015,2019,Not applicable
1,633190,"Conservative iron chelation as a disease-modifying strategy in Parkinson’s disease: a multicentric, parallel-group, placebo-controlled, randomized clinical trial of deferiprone",Diagnostics / Biomarkers,CENTRE HOSPITALIER REGIONAL ET UNIVERSITAIRE DE LILLE,France,HES,CLOSED,8263202.5,2015,2021,Not applicable
2,633212,Aging Lungs in European Cohorts,Genomics / Molecular Biology,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,United Kingdom,HES,CLOSED,7271433.75,2015,2019,Not applicable
3,633236,"Enthusiasm, Passion, Inspiration, Challenge (EPIC) – join us during the Researchers’ Night and see for yourself how by connecting science and passion one can make a difference!",Genomics / Molecular Biology,POLITECHNIKA POZNANSKA,Poland,HES,CLOSED,139825.0,2014,2015,Not applicable
4,633397,Estonian Researchers' Nights 2014-2015,Diagnostics / Biomarkers,SIHTASUTUS TEADUSKESKUS AHHAA,Estonia,OTH,CLOSED,164375.0,2014,2015,Not applicable
5,633413,Efficacy and safety of low-dose IL-2 (ld-IL-2) as a Treg enhancer for anti-neuroinflammatory therapy in newly diagnosed Amyotrophic Lateral Sclerosis (ALS) patients,Diagnostics / Biomarkers,CENTRE HOSPITALIER UNIVERSITAIRE,France,REC,CLOSED,6510741.95,2015,2021,Not applicable
6,633477,"Development and advanced prefabrication of innovative, multifunctional building envelope elements for MOdular REtrofitting and CONNECTions",Diagnostics / Biomarkers,Huygen Installatie Adviseurs,Netherlands,PRC,CLOSED,5634810.68,2014,2019,Not applicable
7,633491,DOLORisk: Understanding risk factors and determinants for neuropathic pain,Genomics / Molecular Biology,"THE CHANCELLOR, MASTERS AND SCHOLARS OF THE UNIVERSITY OF OXFORD",United Kingdom,HES,CLOSED,5981219.5,2015,2020,Not applicable
8,633515,Dynamic hormone diagnostics,Diagnostics / Biomarkers,UNIVERSITETET I BERGEN,Norway,HES,CLOSED,5999381.25,2015,2020,Not applicable
9,633567,"Improving Design, Evaluation and Analysis of early drug development Studies",Pharma / Biotech,UNIVERSITY OF LANCASTER,United Kingdom,HES,CLOSED,3108939.48,2015,2018,Not applicable
10,633589,"Validating C. elegans healthspan model for better understanding factors causing health and disease, to develop evidence based prevention, diagnostic, therapeutic and other strategies.",Diagnostics / Biomarkers,KATHOLIEKE UNIVERSITEIT LEUVEN,Belgium,HES,CLOSED,7305146.0,2015,2020,Not applicable
11,633592,APERIM: Advanced bioinformatics platform for PERsonalised cancer IMmunotherapy,Genomics / Molecular Biology,MEDIZINISCHE UNIVERSITAT INNSBRUCK,Austria,HES,CLOSED,2999287.5,2015,2018,Not applicable
12,633784,Breast CAncer STratification: understanding the determinants of risk and prognosis of molecular subtypes,Oncology,STICHTING HET NEDERLANDS KANKER INSTITUUT-ANTONI VAN LEEUWENHOEK ZIEKENHUIS,Netherlands,REC,CLOSED,6120856.25,2015,2021,Not applicable
13,633888,Ultrafast Spatiotemporally-Encoding: A Superior Approach to Cancer Diagnosis by Non-Invasive Diffusion-Weighted MRI,Oncology,WEIZMANN INSTITUTE OF SCIENCE,Israel,HES,CLOSED,150000.0,2015,2016,Not applicable
14,633937,ULTRAsensitive PLAsmonic devices for early CAncer Diagnosis,Genomics / Molecular Biology,ISTITUTO NAZIONALE DI BIOSTRUTTURE E BIOSISTEMI,Italy,REC,CLOSED,6026455.0,2015,2018,Not applicable
15,633962,P4SB – From Plastic waste to Plastic value using Pseudomonas putida Synthetic Biology,Pharma / Biotech,RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,Germany,HES,CLOSED,7056968.75,2015,2019,Not applicable
16,633964,"An integrated approach to dissect determinants, risk factors and pathways of ageing of the immune system.",Diagnostics / Biomarkers,CONSIGLIO NAZIONALE DELLE RICERCHE,Italy,REC,CLOSED,5850000.0,2015,2019,Not applicable
17,633974,Statistical multi-Omics UNDerstanding of Patient Samples,Genomics / Molecular Biology,EUROPEAN MOLECULAR BIOLOGY LABORATORY,Germany,REC,CLOSED,3656977.5,2015,2018,Not applicable
18,633983,Application of omics-based strategies for improved diagnosis and treatment of endocrine hypertension,Genomics / Molecular Biology,INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE,France,REC,CLOSED,8440635.0,2015,2021,Not applicable
19,634013,Advanced nanophotonic point-of-care analysis device for fast and early diagnosis of cardiovascular diseases,Diagnostics / Biomarkers,UNIVERSITAT POLITECNICA DE VALENCIA,Spain,HES,CLOSED,4146163.75,2015,2019,Not applicable
20,634107,"Capture, dissemination and analysis of multiscale cell migration data for biological and clinical applications (MULTIMOT)",Oncology,VIB VZW,Belgium,REC,CLOSED,2999354.0,2015,2018,Not applicable
21,634113,"The aging germ cell – biological pathways, risk factors and mechanisms underlying an increasing medical and socio-economic problem",Genomics / Molecular Biology,TECHNISCHE UNIVERSITAET DRESDEN,Germany,HES,CLOSED,5350598.75,2015,2020,Not applicable
22,634143,"Creating medically-driven integrative bioinformatics applications focused on oncology, CNS disorders and their comorbidities (MedBioinformatics)",Diagnostics / Biomarkers,CONSORCIO MAR PARC DE SALUT DE BARCELONA,Spain,HES,CLOSED,3463481.25,2015,2018,Not applicable
23,634200,BIOCASCADES- Sustainable and Scalable Biocatalytic Cascade Reactions Training Network,Pharma / Biotech,TECHNISCHE UNIVERSITAET GRAZ,Austria,HES,CLOSED,2787956.64,2015,2018,Not applicable
24,634361,Novel biocontrol agents for insect pests from neuroendocrinology,Genomics / Molecular Biology,UNIVERSITY OF GLASGOW,United Kingdom,HES,CLOSED,6995053.75,2015,2019,Not applicable
