,trial_id,country_name,recruitment_status,country_iso3
0,0,Spain,Not authorised,ESP
1,1,Poland,Not authorised,POL
2,1,Italy,Not authorised,ITA
3,1,Germany,Not authorised,DEU
4,1,Sweden,Not authorised,SWE
5,1,Austria,Not authorised,AUT
6,1,France,Not authorised,FRA
7,1,Spain,Not authorised,ESP
8,1,Ireland,Not authorised,IRL
9,1,Belgium,Not authorised,BEL
10,2,Italy,"Ongoing, recruiting",ITA
11,3,Italy,Not authorised,ITA
12,4,Sweden,"Authorised, recruitment pending",SWE
13,4,Finland,"Authorised, recruitment pending",FIN
14,5,Netherlands,"Ongoing, recruitment ended",NLD
15,6,Spain,Not authorised,ESP
16,7,Denmark,Not authorised,DNK
17,8,Romania,"Authorised, recruitment pending",ROU
18,8,Bulgaria,"Authorised, recruitment pending",BGR
19,9,Belgium,"Authorised, recruitment pending",BEL
20,10,France,"Ongoing, recruiting",FRA
21,11,Spain,Not authorised,ESP
22,11,Romania,Not authorised,ROU
23,12,Netherlands,"Authorised, recruitment pending",NLD
24,13,Spain,Not authorised,ESP
25,13,Italy,Not authorised,ITA
26,14,Italy,"Ongoing, recruitment ended",ITA
27,15,Spain,Not authorised,ESP
28,16,France,"Ongoing, recruiting",FRA
29,17,Sweden,"Ongoing, recruitment ended",SWE
30,18,Spain,"Authorised, recruitment pending",ESP
31,19,Netherlands,"Ongoing, recruitment ended",NLD
32,19,Belgium,"Ongoing, recruitment ended",BEL
33,19,Sweden,"Ongoing, recruitment ended",SWE
34,20,Finland,"Ongoing, recruiting",FIN
35,20,Netherlands,"Ongoing, recruiting",NLD
36,20,Belgium,"Ongoing, recruiting",BEL
37,20,Sweden,"Ongoing, recruiting",SWE
38,20,Spain,"Ongoing, recruiting",ESP
39,20,Denmark,"Ongoing, recruiting",DNK
40,20,Norway,"Ongoing, recruiting",NOR
41,21,France,"Ongoing, recruitment ended",FRA
42,22,Netherlands,"Ongoing, recruiting",NLD
43,23,France,"Authorised, recruitment pending",FRA
44,24,Netherlands,"Ongoing, recruiting",NLD
45,25,Germany,Ended,DEU
46,26,Spain,"Authorised, recruitment pending",ESP
47,27,France,"Authorised, recruitment pending",FRA
48,28,Germany,Not authorised,DEU
49,29,Italy,"Ongoing, recruiting",ITA
50,30,Netherlands,"Ongoing, recruiting",NLD
51,31,Sweden,"Authorised, recruitment pending",SWE
52,32,Spain,Not authorised,ESP
53,33,Spain,"Ongoing, recruitment ended",ESP
54,33,Belgium,"Ongoing, recruitment ended",BEL
55,33,Netherlands,"Ongoing, recruitment ended",NLD
56,34,Netherlands,"Ongoing, recruiting",NLD
57,35,Netherlands,"Authorised, recruitment pending",NLD
58,36,Czechia,"Ongoing, recruiting",CZE
59,36,Netherlands,"Ongoing, recruiting",NLD
60,36,Italy,"Ongoing, recruiting",ITA
61,36,Spain,"Ongoing, recruiting",ESP
62,36,Denmark,"Ongoing, recruiting",DNK
63,36,Finland,"Ongoing, recruiting",FIN
64,36,France,"Ongoing, recruiting",FRA
65,36,Norway,"Ongoing, recruiting",NOR
66,36,Belgium,"Ongoing, recruiting",BEL
67,36,Austria,"Ongoing, recruiting",AUT
68,37,Belgium,Ended,BEL
69,38,France,"Ongoing, recruiting",FRA
70,39,Italy,"Ongoing, recruiting",ITA
71,40,Sweden,"Authorised, recruitment pending",SWE
72,41,Italy,"Ongoing, recruiting",ITA
73,42,France,Ended,FRA
74,42,Spain,Ended,ESP
75,42,Italy,Ended,ITA
76,43,Spain,Not authorised,ESP
77,43,Slovenia,Not authorised,SVN
78,43,Poland,Not authorised,POL
79,43,France,Not authorised,FRA
80,43,Cyprus,Not authorised,CYP
81,44,Spain,Ended,ESP
82,44,Germany,Ended,DEU
83,44,France,Ended,FRA
84,45,France,"Ongoing, recruitment ended",FRA
85,46,Norway,"Authorised, recruitment pending",NOR
86,47,Italy,"Authorised, recruitment pending",ITA
87,48,Denmark,"Ongoing, recruitment ended",DNK
88,49,Hungary,"Ongoing, recruitment ended",HUN
89,49,Czechia,"Ongoing, recruitment ended",CZE
90,50,Netherlands,"Ongoing, recruitment ended",NLD
91,50,Italy,"Ongoing, recruitment ended",ITA
92,51,Spain,"Ongoing, recruiting",ESP
93,52,Italy,"Ongoing, recruiting",ITA
94,53,France,"Ongoing, recruiting",FRA
95,54,Italy,"Ongoing, recruitment ended",ITA
96,55,Netherlands,"Ongoing, recruitment ended",NLD
97,56,Austria,"Ongoing, recruiting",AUT
98,57,France,"Ongoing, recruitment ended",FRA
99,57,Germany,"Ongoing, recruitment ended",DEU
100,58,Netherlands,Ended,NLD
101,59,Finland,Ended,FIN
102,60,Netherlands,"Ongoing, recruiting",NLD
103,61,Norway,"Ongoing, recruiting",NOR
104,61,Ireland,"Ongoing, recruiting",IRL
